ID,States ,Loss in GDP in %
1,Maharashtra                                                                  ,15.4
2,Tamil Nadu  ,15
3,Gujarat ,15
4,Uttar Pradesh ,13.1
5,Karnataka ,11.4
6,West Bengal,14.6
7,Delhi ,18.8
8,Rajasthan ,14.1
9,Andhra Pradesh ,14.9
10,Telangana ,14.6
11,Kerala ,12.6
12,Madhya Pradesh ,11.5
13,Haryana ,12.6
14,Punjab ,13.6
15,Bihar ,11.5
16,Orissa ,9.4
17,Jharkhand ,10
18,Chhattisgarh ,8.5
19,Uttaranchal,10.2
20,Assam ,7
21,Jammu and Kashmir ,13.1
22,Himachal Pradesh ,10
23,Chandigarh ,18.8
24,Goa ,6.3
25,Puducherry ,11
26,Tripura ,7.4
27,Meghalaya ,8
28,Nagaland ,6.3
29,Sikkim ,6.3
30,Manipur ,6.3
31,Arunachal Pradesh ,6.3
32,Mizoram ,6.3
33,A & N Islands ,14.1
34,Lakshadweep,13.5
